location,price,sector,year
Utah,7.86,Industrial,2024
Wyoming,7.96,Industrial,2024
Pacific Contiguous,15.38,Industrial,2024
California,21.53,Industrial,2024
Oregon,8.05,Industrial,2024
Washington,6.61,Industrial,2024
Pacific Noncontiguous,29.93,Industrial,2024
Alaska,19.31,Industrial,2024
Hawaii,34.13,Industrial,2024
U.S. Total,8.13,Industrial,2024
New England,15.81,Industrial,2023
Connecticut,15.69,Industrial,2023
Maine,12.3,Industrial,2023
Massachusetts,17.88,Industrial,2023
New Hampshire,15.76,Industrial,2023
Rhode Island,18.98,Industrial,2023
Vermont,11.27,Industrial,2023
Middle Atlantic,7.91,Industrial,2023
New Jersey,11.68,Industrial,2023
New York,6.87,Industrial,2023
Pennsylvania,7.75,Industrial,2023
East North Central,7.94,Industrial,2023
Illinois,8.2,Industrial,2023
Indiana,8.24,Industrial,2023
Michigan,8.16,Industrial,2023
Ohio,7.03,Industrial,2023
Wisconsin,8.68,Industrial,2023
West North Central,7.77,Industrial,2023
Iowa,6.91,Industrial,2023
Kansas,7.64,Industrial,2023
Minnesota,9.2,Industrial,2023
Missouri,7.9,Industrial,2023
Nebraska,7.63,Industrial,2023
North Dakota,7.37,Industrial,2023
South Dakota,8.01,Industrial,2023
South Atlantic,7.58,Industrial,2023
Delaware,7.85,Industrial,2023
District of Columbia,10.85,Industrial,2023
Florida,9.39,Industrial,2023
Georgia,6.88,Industrial,2023
Maryland,9.94,Industrial,2023
North Carolina,7.15,Industrial,2023
South Carolina,6.68,Industrial,2023
Virginia,8.92,Industrial,2023
West Virginia,7.24,Industrial,2023
East South Central,6.72,Industrial,2023
Alabama,7.1,Industrial,2023
Kentucky,6.55,Industrial,2023
Mississippi,6.96,Industrial,2023
Tennessee,6.23,Industrial,2023
West South Central,6.47,Industrial,2023
Arkansas,6.87,Industrial,2023
Louisiana,5.88,Industrial,2023
Oklahoma,6.26,Industrial,2023
Texas,6.6,Industrial,2023
Mountain,7.84,Industrial,2023
Arizona,8.11,Industrial,2023
Colorado,8.5,Industrial,2023
Idaho,7.17,Industrial,2023
Montana,7.8,Industrial,2023
Nevada,10.36,Industrial,2023
New Mexico,5.75,Industrial,2023
Utah,6.99,Industrial,2023
Wyoming,7.06,Industrial,2023
Pacific Contiguous,13.38,Industrial,2023
California,18.64,Industrial,2023
Oregon,7.52,Industrial,2023
Washington,6.35,Industrial,2023
Pacific Noncontiguous,30.55,Industrial,2023
Alaska,18.7,Industrial,2023
Hawaii,35.28,Industrial,2023
U.S. Total,8.04,Industrial,2023
New England,12.99,Transportation,2024
Connecticut,17.77,Transportation,2024
Maine,,Transportation,2024
Massachusetts,9.22,Transportation,2024
New Hampshire,,Transportation,2024
Rhode Island,21.53,Transportation,2024
Vermont,,Transportation,2024
Middle Atlantic,13.67,Transportation,2024
New Jersey,11.11,Transportation,2024
New York,14.7,Transportation,2024
Pennsylvania,9.96,Transportation,2024
East North Central,7.99,Transportation,2024
Illinois,7.76,Transportation,2024
Indiana,12.31,Transportation,2024
Michigan,14.09,Transportation,2024
Ohio,7.32,Transportation,2024
Wisconsin,18.36,Transportation,2024
West North Central,10.98,Transportation,2024
Iowa,,Transportation,2024
Kansas,,Transportation,2024
Minnesota,12.71,Transportation,2024
Missouri,9.94,Transportation,2024
Nebraska,,Transportation,2024
North Dakota,,Transportation,2024
South Dakota,,Transportation,2024
South Atlantic,10.02,Transportation,2024
Delaware,,Transportation,2024
District of Columbia,9.66,Transportation,2024
Florida,10.87,Transportation,2024
Georgia,7.64,Transportation,2024
Maryland,11.55,Transportation,2024
North Carolina,10.28,Transportation,2024
South Carolina,,Transportation,2024
Virginia,9.25,Transportation,2024
West Virginia,,Transportation,2024
East South Central,,Transportation,2024
Alabama,,Transportation,2024
Kentucky,,Transportation,2024
Mississippi,,Transportation,2024
Tennessee,,Transportation,2024
West South Central,7.76,Transportation,2024
Arkansas,13.23,Transportation,2024
Louisiana,11.54,Transportation,2024
Oklahoma,,Transportation,2024
Texas,4.35,Transportation,2024
Mountain,10.61,Transportation,2024
Arizona,10.95,Transportation,2024
Colorado,9.66,Transportation,2024
Idaho,,Transportation,2024
Montana,,Transportation,2024
Nevada,10.66,Transportation,2024
New Mexico,,Transportation,2024
Utah,12.07,Transportation,2024
Wyoming,,Transportation,2024
Pacific Contiguous,16.1,Transportation,2024
California,16.79,Transportation,2024
Oregon,12.54,Transportation,2024
Washington,11.64,Transportation,2024
Pacific Noncontiguous,,Transportation,2024
Alaska,,Transportation,2024
Hawaii,,Transportation,2024
U.S. Total,12.75,Transportation,2024
New England,13.01,Transportation,2023
Connecticut,21.55,Transportation,2023
Maine,,Transportation,2023
Massachusetts,7.15,Transportation,2023
New Hampshire,,Transportation,2023
Rhode Island,17.29,Transportation,2023
Vermont,,Transportation,2023
Middle Atlantic,14.65,Transportation,2023
New Jersey,12.22,Transportation,2023
New York,15.7,Transportation,2023
Pennsylvania,10.21,Transportation,2023
East North Central,7.08,Transportation,2023
Illinois,6.9,Transportation,2023
Indiana,12.73,Transportation,2023
Michigan,13.67,Transportation,2023
Ohio,5.91,Transportation,2023
Wisconsin,17.21,Transportation,2023
West North Central,10.89,Transportation,2023
Iowa,,Transportation,2023
Kansas,,Transportation,2023
Minnesota,12.35,Transportation,2023
Missouri,9.77,Transportation,2023
Nebraska,,Transportation,2023
North Dakota,,Transportation,2023
South Dakota,,Transportation,2023
South Atlantic,10.23,Transportation,2023
Delaware,,Transportation,2023
District of Columbia,9.94,Transportation,2023
Florida,11.33,Transportation,2023
Georgia,7.29,Transportation,2023
Maryland,11.23,Transportation,2023
North Carolina,8.86,Transportation,2023
South Carolina,,Transportation,2023
Virginia,10.42,Transportation,2023
West Virginia,,Transportation,2023
East South Central,,Transportation,2023
Alabama,,Transportation,2023
Kentucky,,Transportation,2023
Mississippi,,Transportation,2023
Tennessee,,Transportation,2023
West South Central,7.53,Transportation,2023
Arkansas,14.93,Transportation,2023
Louisiana,11.0,Transportation,2023
Oklahoma,,Transportation,2023
Texas,7.3,Transportation,2023
Mountain,12.69,Transportation,2023
Arizona,10.01,Transportation,2023
Colorado,13.23,Transportation,2023
Idaho,,Transportation,2023
Montana,,Transportation,2023
Nevada,12.75,Transportation,2023
New Mexico,,Transportation,2023
Utah,12.28,Transportation,2023
Wyoming,,Transportation,2023
Pacific Contiguous,12.67,Transportation,2023
California,13.01,Transportation,2023
Oregon,11.41,Transportation,2023
Washington,10.17,Transportation,2023
Pacific Noncontiguous,,Transportation,2023
Alaska,,Transportation,2023
Hawaii,,Transportation,2023
U.S. Total,12.77,Transportation,2023
New England,23.03,All Sectors,2024
Connecticut,24.37,All Sectors,2024
Maine,19.66,All Sectors,2024
Massachusetts,23.94,All Sectors,2024
New Hampshire,20.6,All Sectors,2024
Rhode Island,24.15,All Sectors,2024
Vermont,18.41,All Sectors,2024
Middle Atlantic,16.11,All Sectors,2024
New Jersey,16.29,All Sectors,2024
New York,19.66,All Sectors,2024
Pennsylvania,12.51,All Sectors,2024
East North Central,12.22,All Sectors,2024
Illinois,12.21,All Sectors,2024
Indiana,11.38,All Sectors,2024
Michigan,14.16,All Sectors,2024
Ohio,11.29,All Sectors,2024
Wisconsin,12.72,All Sectors,2024
West North Central,10.52,All Sectors,2024
Iowa,9.34,All Sectors,2024
Kansas,11.21,All Sectors,2024
Minnesota,12.35,All Sectors,2024
Missouri,11.06,All Sectors,2024
Nebraska,9.07,All Sectors,2024
North Dakota,7.93,All Sectors,2024
South Dakota,10.87,All Sectors,2024
South Atlantic,11.92,All Sectors,2024
Delaware,13.56,All Sectors,2024
District of Columbia,16.88,All Sectors,2024
Florida,12.53,All Sectors,2024
Georgia,11.4,All Sectors,2024
Maryland,15.04,All Sectors,2024
North Carolina,11.65,All Sectors,2024
South Carolina,10.9,All Sectors,2024
Virginia,10.62,All Sectors,2024
West Virginia,11.05,All Sectors,2024
