station_name,lat,long,elevation
14th Ave at Geary Blvd,37.780364,-122.4728095,57.0
Taylor St at Columbus Ave,37.80330737378947,-122.41489757374517,19.0
Anza St at 19th Ave,37.77855734730058,-122.47798977442686,52.0
23rd St at Telegraph Ave,37.81258108581741,-122.2685730457306,3.0
Shattuck Ave at Hearst Ave,37.87367621459825,-122.26848721504211,69.0
Vicente St at 26th Ave,37.73892988337994,-122.48314781967206,63.0
Sutter St at Montgomery St,37.79004443842605,-122.40199392970877,55.0
Terry Francois Blvd at Warriors Way,37.76909488728109,-122.38633275032042,-3.0
Francisco St at Columbus Ave,37.80445377683579,-122.41579377360824,7.0
Duboce Park,37.76905007036965,-122.4336132336389,54.0
Woolsey St at Sacramento St,37.8505777,-122.2781754,23.0
Foothill Blvd at Fruitvale Ave,37.7837569,-122.2226033,28.0
Snow Park,37.80781318217903,-122.26449608802795,2.0
9th Ave at Geary Blvd,37.781840715520495,-122.46763586997984,58.0
Frederick St at Arguello Blvd,37.76578298679633,-122.45763659477234,94.0
Eureka Valley Recreation Center,37.759211,-122.4367975,45.0
Great Highway at Judah St,37.760523341594734,-122.5095087096936,8.0
Channing Way at Shattuck Ave,37.8658466,-122.2674431,54.0
5th Ave at Anza St,37.77948760924334,-122.4631418287754,59.0
55th St at Telegraph Ave,37.8401858,-122.2618225,40.0
Howard St at Beale St,37.790296440371655,-122.3938751220703,28.0
San Pedro Square,37.336802,-121.8940901,25.0
9th St at San Fernando St,37.3383952,-121.8807965,24.0
16th St at Prosper St,37.764285,-122.4318042,43.0
Empire St at 1st St,37.3448821,-121.8969655,20.0
Bay St at Fillmore St,37.8026635,-122.4360635,9.0
Jackson St at 5th St,37.3487586867448,-121.89479783177376,21.0
Palm St at Willow St,37.3172979,-121.884995,31.0
Great Highway at Balboa St,37.775211,-122.511208,10.0
Sunol St at San Carlos St,37.32345133870681,-121.90597593784332,30.0
Terry Francois Blvd at Mission Bay Blvd N,37.7717667,-122.3866885,2.0
Salesforce Transit Center,37.78749210438603,-122.3982846736908,7.0
41st Ave at Irving St,37.7626492,-122.5007785,30.0
China Basin St at 3rd St,37.7719996,-122.3899698,0.0
North Berkeley BART,37.8738556998122,-122.28298832384976,34.0
Greenwich St at Franklin St,37.80028668467315,-122.42578603327274,26.0
Crissy Field Overlook,37.80434002397924,-122.46977499542706,25.0
Fruitvale BART,37.7752321,-122.2244982,13.0
Stowe Lake,37.77093751,-122.4771164,94.0
Fulton St at Laguna St,37.77834224666045,-122.42637355967727,26.0
11th St at Bryant St,37.7700298,-122.4117258,8.0
Miles Ave at Cavour St,37.8388,-122.258732,38.0
23rd St at Tennessee St,37.755367132158526,-122.38879501819608,3.0
Downtown Berkeley BART,37.870139,-122.268422,62.0
Otis St at Brady St,37.772219,-122.419976,21.0
Russell St at College Ave,37.8584732,-122.2532529,81.0
Grand Ave at Webster St,37.8113768,-122.2651925,19.0
23rd Ave at Clement St,37.7819295,-122.4827855,42.0
Divisadero St at Lombard St,37.79917511263459,-122.44272915651892,12.0
16th St Mission BART North,37.7648385,-122.420141,9.0
Chestnut St at Van Ness Ave,37.8023,-122.4244135,36.0
Irving St at 17th Ave,37.76372118411808,-122.4753742486682,72.0
Alamo Square,37.77754677017323,-122.43327409029006,45.0
MacArthur BART,37.8285951,-122.2663493,18.0
24th Ave at Quintara St,37.74862812225987,-122.48154102855432,125.0
Grand Ave at Santa Clara Ave,37.8127441,-122.2472152,4.0
Octavia Blvd at Page St,37.774017937683546,-122.4238085746765,26.0
Sanchez St at 24th St,37.751712,-122.42965,52.0
Arlington St at Roanoke St,37.734966,-122.429772,65.0
Lincoln Blvd at Hoffman St,37.806066447146506,-122.47028626864814,25.0
Turk Blvd at Stanyan St,37.777609310293336,-122.4546217918396,88.0
Parque Ninos Unidos,37.75433696210104,-122.41324460484472,15.0
Stanyan St at Geary Blvd,37.780949,-122.456303,71.0
Polk St at Post St,37.7870025,-122.420053,46.0
Howard St at 2nd St,37.78646613354221,-122.39871607983105,7.0
Santa Clara St at 7th St,37.3391456,-121.8841054,24.0
Firmware Test Charging Internal Howard ,37.7746,-122.414,14.0
Cahill Park,37.32911866814779,-121.90457582473756,30.0
Ellis St at Pierce St,37.781981687527214,-122.43576988577844,43.0
29th St at Tiffany Ave,37.7440667,-122.4214722,28.0
Howard St at 6th St,37.7802645,-122.4066435,13.0
Broadway at Kearny St,37.79801364395978,-122.40595042705534,53.0
Parker St at Fulton St,37.8624644,-122.2647911,52.0
Pier 1/2 at The Embarcadero,37.7963894,-122.3945855,2.0
22nd St at Potrero Ave,37.756808,-122.405943,27.0
Ninth St at Heinz Ave,37.85299776297823,-122.28944645338662,14.0
7th Ave at Clement St,37.78243851977672,-122.4653774499893,59.0
Fell St at Clayton St,37.77256103441637,-122.44890733174483,82.0
15th St at Potrero Ave,37.76707850458367,-122.40735858678818,12.0
Mabini St at Folsom St,37.7824146203997,-122.40019999757254,11.0
San Carlos St at Market St,37.330698,-121.888979,24.0
La Playa St at Lincoln Way,37.763874,-122.509526,7.0
Euclid Ave at Hearst Ave,37.8753207,-122.2601554,113.0
Steiner St at California St,37.788568914161615,-122.43540108203888,56.0
Berry St at 4th St,37.77599270441184,-122.39300568626936,10.0
O'Farrell St at Masonic Ave,37.781130551698666,-122.44737446308136,94.0
8th St at Ringold St,37.77452040113685,-122.4094493687153,7.0
